,Company,TypeName,Inches,Memory,Gpu,OperatingSystem,Weight,Price,ScreenWidth,ScreenHeight,CpuManufacturer,CpuSpeed,CpuModel,PrimaryStorageAmount,PrimaryStorageType,SecondaryStorageAmount,SecondaryStorageType
0,Other,Ultrabook,13.3,8,Other,macOS,1.37,71378.6832,2560,1600,Intel,2.3,Core i5,128.0,SSD,0.0,None
1,Other,Ultrabook,13.3,8,Other,macOS,1.34,47895.5232,1440,900,Intel,1.8,Core i5,128.0,Flash Storage,0.0,None
2,HP,Notebook,15.6,8,Intel HD Graphics 620,No OS,1.86,30636.0,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
3,Other,Ultrabook,15.4,16,Other,macOS,1.83,135195.33599999998,2880,1800,Intel,2.7,Core i7,512.0,SSD,0.0,None
4,Other,Ultrabook,13.3,8,Other,macOS,1.37,96095.808,2560,1600,Intel,3.1,Core i5,256.0,SSD,0.0,None
5,Acer,Notebook,15.6,4,Other,Windows 10,2.1,21312.0,1366,768,AMD,3,A9-Series 9420,500.0,HDD,0.0,None
6,Other,Ultrabook,15.4,16,Other,Other,2.04,114017.6016,2880,1800,Intel,2.2,Core i7,256.0,Flash Storage,0.0,None
7,Other,Ultrabook,13.3,8,Other,macOS,1.34,61735.536,1440,900,Intel,1.8,Core i5,256.0,Flash Storage,0.0,None
8,Asus,Ultrabook,14.0,16,Nvidia GeForce MX150,Windows 10,1.3,79653.59999999999,1920,1080,Intel,1.8,Core i7,512.0,SSD,0.0,None
9,Acer,Ultrabook,14.0,8,Intel UHD Graphics 620,Windows 10,1.6,41025.6,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
10,HP,Notebook,15.6,4,Intel HD Graphics 620,No OS,1.86,20986.992,1366,768,Intel,2.5,Core i5,500.0,HDD,0.0,None
11,HP,Notebook,15.6,4,Intel HD Graphics 520,No OS,1.86,18381.0672,1920,1080,Intel,2,Core i3,500.0,HDD,0.0,None
12,Other,Ultrabook,15.4,16,Other,macOS,1.83,130001.6016,2880,1800,Intel,2.8,Core i7,256.0,SSD,0.0,None
13,Dell,Notebook,15.6,4,AMD Radeon R5 M430,Windows 10,2.2,26581.392,1920,1080,Intel,2,Core i3,256.0,SSD,0.0,None
14,Other,Ultrabook,12.0,8,Other,macOS,0.92,67260.672,2304,1440,Intel,1.2,Core M,256.0,SSD,0.0,None
15,Other,Ultrabook,13.3,8,Other,macOS,1.37,80908.344,2560,1600,Intel,2.3,Core i5,256.0,SSD,0.0,None
16,Dell,Notebook,15.6,8,AMD Radeon R5 M430,Windows 10,2.2,39693.6,1920,1080,Intel,2.7,Core i7,256.0,SSD,0.0,None
17,Other,Ultrabook,15.4,16,Other,macOS,1.83,152274.24,2880,1800,Intel,2.9,Core i7,512.0,SSD,0.0,None
18,Lenovo,Notebook,15.6,8,Nvidia GeForce 940MX,No OS,2.2,26586.72,1920,1080,Intel,2.4,Core i3,1000.0,HDD,0.0,None
19,Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows 10,1.22,52161.12,1920,1080,Intel,1.6,Core i5,128.0,SSD,0.0,None
20,Asus,Other,11.6,2,Intel HD Graphics 400,Windows 10,0.98,10224.432,1366,768,Intel,1.44,Other,32.0,Flash Storage,0.0,None
21,Lenovo,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows 10,2.5,53226.72,1920,1080,Intel,2.5,Core i5,128.0,SSD,1000.0,HDD
22,HP,Notebook,15.6,4,Other,No OS,1.86,13746.24,1366,768,AMD,1.5,Other,500.0,HDD,0.0,None
23,Dell,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows 10,1.62,43636.32,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
24,HP,Ultrabook,15.6,8,Intel HD Graphics 620,Windows 10,1.91,35111.52,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
25,Dell,Notebook,15.6,4,Intel HD Graphics 520,Windows 10,2.3,22305.1392,1366,768,Intel,2,Core i3,1000.0,HDD,0.0,None
26,Other,Ultrabook,13.3,8,Other,Other,1.35,58554.72,1440,900,Intel,1.6,Core i5,128.0,Flash Storage,0.0,None
27,Dell,Notebook,15.6,8,AMD Radeon 530,Windows 10,2.2,42624.0,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
